id,name,osm_name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id,capacity_unit,role,roleDescription,roleConfidence,roleReason
GEN-KLM-0039,PLTS Long Nawang,PLTS Long Nawang,PLTS,0.100,Kalimantan Utara,Mahakam,existing,,,1.7825724,114.9051424,way/1150889689,solar,NO_CAPACITY,OSM-overpass,MWp,Community,"Memasok listrik untuk komunitas lokal, desa terpencil, atau pulau kecil.",High,Sistem komunitas terpencil
GEN-KLM-0040,PLTD Long Nawang,PLTD Long Nawang,PLTD,,Kalimantan Utara,Mahakam,existing,Perusahaan Listrik Negara,combustion,1.7949122,114.8948056,way/1151107028,oil,NO_CAPACITY,OSM-overpass,MW,Community,"Memasok listrik untuk komunitas lokal, desa terpencil, atau pulau kecil.",High,Sistem komunitas terpencil
GEN-KLM-0041,PLTU Kalteng-1 Pulang Pisau,PLTU Kalteng-1 Pulang Pisau,PLTU,120.0,Kalimantan Tengah,Kalselteng,existing,,combustion,-2.8245463,114.2117965,way/1178166875,coal,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0042,PLTS Long Pahangai,,PLTS,0.120,Kalimantan Timur,Mahakam,existing,,photovoltaic,0.8856043,114.6897687,way/1188270208,solar,NO_NAME;NO_CAPACITY,OSM-overpass,MWp,Community,"Memasok listrik untuk komunitas lokal, desa terpencil, atau pulau kecil.",High,Sistem komunitas terpencil
GEN-KLM-0043,PLTU Kaltim,Kaltim power station,PLTU,,Kalimantan Timur,Mahakam,existing,,,-0.3842383,117.0510154,way/1190705190,,NO_CAPACITY;NO_TYPE,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0045,PLTU WHW Ketapang,Ketapang WHW Smelter Power Plant,PLTU,20.0,Kalimantan Barat,Khatulistiwa,existing,PT Well Harvest Winning Alumina Refinery,combustion,-2.3666338,110.1572199,way/1226006242,coal,NO_CAPACITY,OSM-overpass,MW,Captive,Memasok listrik untuk kebutuhan industri atau pelanggan khusus.,High,Nama/operator menunjukkan fasilitas smelter
GEN-KLM-0046,PLTS Badak LNG,,PLTS,4.0,Kalimantan Timur,Mahakam,existing,,photovoltaic,0.1067593,117.4768166,way/1231910573,solar,NO_NAME;NO_CAPACITY,OSM-overpass,MWp,Captive,Memasok listrik untuk kebutuhan industri atau pelanggan khusus.,High,Nama/operator menunjukkan fasilitas refinery/oil-gas
GEN-KLM-0050,PLTG MPP Parit Baru,PLTG MPP Parit Baru,PLTG,100.0,Kalimantan Barat,Khatulistiwa,existing,Perusahaan Listrik Negara,combustion,0.0589964,109.2038611,way/1236737903,gas,,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0051,PLTU Lati,PTLU Lati,PLTU,28.0,Kalimantan Timur,Mahakam,existing,,combustion,2.2143447,117.618881,way/1280400266,coal,NO_CAPACITY,OSM-overpass,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-KLM-0052,PLTS IKN,PLTS IKN,PLTS,50.0,Kalimantan Timur,Mahakam,existing,Nusantara Sembcorp Solar Energi,photovoltaic,-0.9898017,116.6382959,way/1303917776,solar,,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
