id,name,osm_name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id,capacity_unit,role,roleDescription,roleConfidence,roleReason
GEN-SLW-0086,PLTS Terpusat Pasimarannu,PLTS Terpusat Pasimarannu,PLTS,1.4,Sulawesi Selatan,Sulselrabar,existing,,photovoltaic,-7.3643056,121.0836455,way/1334459348,solar,NO_CAPACITY,OSM-overpass,MWp,Community,"Memasok listrik untuk komunitas lokal, desa terpencil, atau pulau kecil.",High,Sistem kelistrikan lokal
GEN-SLW-0087,PLTS Bonea,PLTS Bonea,PLTS,0.040,Sulawesi Selatan,Sulselrabar,existing,,photovoltaic,-7.3769495,121.1352955,way/1334459373,solar,NO_CAPACITY,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0088,PLTS Batu Bingkung,PLTS Batu Bingkung,PLTS,0.040,Sulawesi Selatan,Sulselrabar,existing,,photovoltaic,-7.3679782,121.1246559,way/1334459400,solar,NO_CAPACITY,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0089,PLTS Sambali,PLTS Sambali,PLTS,0.030,Sulawesi Selatan,Sulselrabar,existing,,photovoltaic,-7.3607119,121.1520298,way/1334459403,solar,NO_CAPACITY,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0090,PLTS Menara Indah,PLTS Menara Indah,PLTS,0.040,Sulawesi Selatan,Sulselrabar,existing,,photovoltaic,-5.7540743,120.4864805,way/1334639659,solar,NO_CAPACITY,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0091,PLTS Pulau Panjang,,PLTS,0.15389,Sulawesi Selatan,Sulselrabar,existing,,,-6.9582135,120.7870314,way/1335862924,solar,NO_NAME;NO_CAPACITY,OSM-overpass,MWp,Community,"Memasok listrik untuk komunitas lokal, desa terpencil, atau pulau kecil.",High,Sistem elektrifikasi pulau kecil
GEN-SLW-0092,PLTS Pasitallu Tangnga,PLTS Pasitallu Tangnga,PLTS,0.050,Sulawesi Selatan,Sulselrabar,existing,,,-7.0633375,121.0979689,way/1336362230,solar,NO_CAPACITY,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0093,PLTS Latondu,PLTS Latondu,PLTS,0.075,Sulawesi Selatan,Sulselrabar,existing,,,-6.5022263,120.9902588,way/1336362251,solar,NO_CAPACITY,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0095,PLTS Terpusat Batuatas Barat,,PLTS,0.035,Sulawesi Tenggara,Sulselrabar,existing,,,-6.2057332,122.7247557,way/1365649482,solar,NO_NAME;NO_CAPACITY,OSM-overpass,MWp,Community,"Memasok listrik untuk komunitas lokal, desa terpencil, atau pulau kecil.",High,Sistem kelistrikan lokal
GEN-SLW-0096,PLTS Makalehi,PLTS Makalehi,PLTS,0.260,Sulawesi Utara,Sulutgo,existing,PT PLN,photovoltaic,2.7398911,125.1696776,way/1371205002,solar,NO_CAPACITY,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0097,PLTS Pulau Kondingareng,,PLTS,0.260,Sulawesi Selatan,Sulselrabar,existing,,photovoltaic,-5.1486883,119.2649187,way/1383897662,solar,NO_NAME;NO_CAPACITY,OSM-overpass,MWp,Community,"Memasok listrik untuk komunitas lokal, desa terpencil, atau pulau kecil.",High,Sistem elektrifikasi pulau kecil
GEN-SLW-0098,PLTU Ambunu,PLTU Ambunu,PLTU,350.0,Sulawesi Tengah,Sulteng,existing,Indonesia Huabao Industrial Park,combustion,-2.2591674,121.7716482,way/1416911382,coal,,OSM-overpass,MW,Captive,Memasok listrik untuk kebutuhan industri atau pelanggan khusus.,High,Nama/operator menunjukkan kawasan industri
GEN-SLW-0099,PLTS Kayuadi,PLTS Kayuadi,PLTS,1.01,Sulawesi Selatan,Sulselrabar,existing,,photovoltaic,-6.7875933,120.7962051,way/1444676313,solar,NO_CAPACITY,OSM-overpass,MWp,Utility,Memasok listrik ke sistem kelistrikan publik.,,
GEN-SLW-0102,PLTMG Kendari,,PLTMG,58.0,Sulawesi Tenggara,Sulselrabar,existing,,,-3.8950056,122.5374029,,,MANUAL_ADD_v1.0,manual_revision_v1.0_split_from_0042,MW,Utility,Memasok listrik ke sistem kelistrikan publik.,,
