id,system,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-SLW-0023,Sulselrabar,150 kV,150.0,150,62.733,way/257613286,150000,OSM-overpass
TRM-SLW-0024,Sulselrabar,150 kV,150.0,150,0.651,way/257613287,150000,OSM-overpass
TRM-SLW-0025,Sulselrabar,150 kV,150.0,150,22.424,way/257613288,150000,OSM-overpass
TRM-SLW-0026,Sulselrabar,150 kV,150.0,150,28.998,way/257725633,150000,OSM-overpass
TRM-SLW-0027,Sulselrabar,150 kV,150.0,150,18.694,way/257725638,150000,OSM-overpass
TRM-SLW-0028,Sulselrabar,150 kV,150.0,150,34.409,way/257725650,150000,OSM-overpass
TRM-SLW-0029,Sulselrabar,150 kV,150.0,150,112.17,way/257745121,150000,OSM-overpass
TRM-SLW-0030,Sulselrabar,150 kV,150.0,150,34.693,way/261043886,150000,OSM-overpass
TRM-SLW-0031,Sulselrabar,150 kV,150.0,150,11.924,way/277750080,150000,OSM-overpass
TRM-SLW-0032,Sulutgo,150 kV,150.0,150,61.656,way/397085934,150000,OSM-overpass
TRM-SLW-0033,Sulutgo,150 kV,150.0,150,17.473,way/399421490,150000,OSM-overpass
TRM-SLW-0034,Sulutgo,150 kV,150.0,150,36.812,way/399421492,150000,OSM-overpass
TRM-SLW-0035,Sulselrabar,150 kV,150.0,150,11.917,way/399505631,150000,OSM-overpass
TRM-SLW-0036,Sulselrabar,150 kV,150.0,150,0.305,way/399672711,150000,OSM-overpass
TRM-SLW-0037,Sulselrabar,150 kV,150.0,150,0.032,way/399714484,150000,OSM-overpass
TRM-SLW-0038,Sulselrabar,150 kV,150.0,150,0.171,way/399714485,150000,OSM-overpass
TRM-SLW-0039,Sulselrabar,150 kV,150.0,150,62.312,way/399724594,150000,OSM-overpass
TRM-SLW-0040,Sulselrabar,150 kV,150.0,150,7.415,way/399724595,150000,OSM-overpass
TRM-SLW-0041,Sulteng,150 kV,150.0,150,141.685,way/615581237,150000,OSM-overpass
TRM-SLW-0042,Sulteng,275 kV,275.0,275,0.518,way/615581244,275000,OSM-overpass
TRM-SLW-0043,Sulteng,275 kV,275.0,275,0.607,way/615581245,275000,OSM-overpass
TRM-SLW-0044,Sulteng,150 kV,150.0,150,43.552,way/615581248,150000,OSM-overpass
TRM-SLW-0045,Sulteng,275 kV,275.0,275,208.138,way/615581258,275000,OSM-overpass
TRM-SLW-0046,Sulutgo,70 kV,70.0,70,26.271,way/615868406,70000,OSM-overpass
TRM-SLW-0047,Sulutgo,150 kV,150.0,150,10.263,way/615868411,150000,OSM-overpass
TRM-SLW-0048,Sulutgo,150 kV,150.0,150,22.684,way/615868414,150000,OSM-overpass
TRM-SLW-0049,Sulutgo,150 kV,150.0,150,47.949,way/615868415,150000,OSM-overpass
TRM-SLW-0050,Sulteng,150 kV,150.0,150,28.88,way/630344599,150000,OSM-overpass
TRM-SLW-0051,Sulutgo,70 kV,70.0,70,18.837,way/657807258,70000,OSM-overpass
TRM-SLW-0052,Sulutgo,70 kV,70.0,70,5.926,way/657807260,70000,OSM-overpass
TRM-SLW-0053,Sulutgo,70 kV,70.0,70,4.413,way/657807262,70000,OSM-overpass
TRM-SLW-0054,Sulutgo,70 kV,70.0,70,3.508,way/657807264,70000,OSM-overpass
TRM-SLW-0055,Sulutgo,70 kV,70.0,70,3.644,way/657807266,70000,OSM-overpass
TRM-SLW-0056,Sulutgo,150 kV,150.0,150,11.497,way/657832698,150000,OSM-overpass
TRM-SLW-0057,Sulutgo,150 kV,150.0,150,26.755,way/657832700,150000,OSM-overpass
TRM-SLW-0058,Sulutgo,150 kV,150.0,150,0.217,way/657832703,150000,OSM-overpass
TRM-SLW-0059,Sulutgo,150 kV,150.0,150,0.049,way/657977644,150000,OSM-overpass
TRM-SLW-0060,Sulutgo,150 kV,150.0,150,0.049,way/657977645,150000,OSM-overpass
TRM-SLW-0061,Sulutgo,70 kV,70.0,70,3.298,way/657977649,70000,OSM-overpass
TRM-SLW-0062,Sulutgo,70 kV,70.0,70,17.047,way/657977651,70000,OSM-overpass
TRM-SLW-0063,Sulselrabar,150 kV,150.0,150,2.761,way/744151483,150000,OSM-overpass
TRM-SLW-0064,Sulselrabar,150 kV,150.0,150,0.049,way/756673522,150000,OSM-overpass
TRM-SLW-0065,Sulselrabar,150 kV,150.0,150,0.043,way/756673523,150000,OSM-overpass
TRM-SLW-0066,Sulselrabar,150 kV,150.0,150,10.261,way/756673524,150000,OSM-overpass
