id,name,osm_name,type,capacity_mw,province,system,status,operator,method,lat,lon,osm_id,osm_source,review_flag,source_id
GEN-SMT-0027,Bendungan Pembangkit Listrik Mikro,Bendungan Pembangkit Listrik Mikro,Unknown,,Lampung,Sumatra,existing,goverment,,-5.336733,104.3247913,way/548692967,,NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-SMT-0028,PLTU Tarahan,PLTU Tarahan,PLTU,200.0,Lampung,Sumatra,existing,,combustion,-5.5216466,105.3533453,way/557586715,coal,,OSM-overpass
GEN-SMT-0029,PLTA Koto Panjang,PLTA Koto Panjang,PLTA,114.0,Riau,Sumatra,existing,,,0.2907544,100.881924,way/558200147,hydro,,OSM-overpass
GEN-SMT-0030,(unnamed),,Unknown,,Kepulauan Riau,Batam,existing,,,1.0752172,104.0228053,way/599504349,,NO_NAME;NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-SMT-0031,PLTMG Baloi,PLTMG Baloi,PLTMG,30.0,Kepulauan Riau,Batam,existing,,combustion,1.115555,104.020618,way/602039121,gas,,OSM-overpass
GEN-SMT-0032,PLTA Asahan 1,PLTA Asahan 1,PLTA,180.0,Sumatera Utara,Sumatra,existing,,water-storage,2.5117949,99.2603324,way/602689146,hydro,,OSM-overpass
GEN-SMT-0033,PLTA Sigura-Gura,PLTA Sigura-Gura,PLTA,286.0,Sumatera Utara,Sumatra,existing,,water-storage,2.5206126,99.2802997,way/602689154,hydro,,OSM-overpass
GEN-SMT-0034,Booster PAM,Booster PAM,Unknown,,Sumatera Selatan,Sumatra,existing,,,-2.9917363,104.7965226,way/605159168,,NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-SMT-0035,PLTGU Panaran,PLTGU Panaran,PLTGU,164.0,Kepulauan Riau,Batam,existing,Mitra Energi Batam,combustion,1.0135851,104.0068031,way/608005581,gas,,OSM-overpass
GEN-SMT-0036,PLTU Pangkalan Susu,PLTU Pangkalan Susu,PLTU,440.0,Aceh,Sumatra,existing,Indonesia Power,combustion,4.1196588,98.2585572,way/610023526,coal,,OSM-overpass
GEN-SMT-0037,PLTG Talang Duku,PLTG Talang Duku,PLTG,60.0,Sumatera Selatan,Sumatra,existing,,,-2.8628747,104.1348459,way/610198178,gas,,OSM-overpass
GEN-SMT-0038,PLTU Tanjung Kasam,PLTU Tanjung Kasam,PLTU,130.0,Kepulauan Riau,Batam,existing,TJK Power,,1.04422,104.1333958,way/614805877,coal,,OSM-overpass
GEN-SMT-0039,PLTGU Indralaya,PLTGU Indralaya,PLTGU,130.0,Sumatera Selatan,Sumatra,existing,,combustion,-3.207056,104.6562593,way/621794946,gas,,OSM-overpass
GEN-SMT-0040,Pusat Listrik Sei Gelam,Pusat Listrik Sei Gelam,PLTG,,Jambi,Sumatra,existing,,combustion,-1.6746401,103.6778833,way/623185709,gas,NO_CAPACITY,OSM-overpass
GEN-SMT-0041,PLTU Ombilin,PLTU Ombilin,PLTU,200.0,Sumatera Barat,Sumatra,existing,Perusahaan Listrik Negara,,-0.6092886,100.7533007,way/626597111,coal,,OSM-overpass
GEN-SMT-0042,PLTD Koto Lolo,PLTD Koto Lolo,PLTD,21.0,Sumatera Barat,Sumatra,existing,PLN,,-2.0463497,101.3885701,way/639281144,diesel,,OSM-overpass
GEN-SMT-0043,PLTU Simpang Belimbing,PLTU Simpang Belimbing,PLTU,300.0,Sumatera Selatan,Sumatra,existing,GH EMM Indonesia,combustion,-3.4009037,104.1180164,way/662978699,coal,,OSM-overpass
GEN-SMT-0044,PLN,PLN,Unknown,,Riau,Sumatra,existing,PLN,,1.4726561,102.1113448,way/674867131,,NO_CAPACITY;NO_TYPE,OSM-overpass
GEN-SMT-0045,PLTG Batamindo Industrial Park,PLTG Batamindo Industrial Park,PLTG,114.0,Kepulauan Riau,Batam,existing,,combustion,1.0642729,104.0258208,way/692066654,gas,,OSM-overpass
GEN-SMT-0046,PLTGU Tanjung Uncang & IPP Batam,PLTGU Tanjung Uncang & IPP Batam,PLTGU,120.0,Kepulauan Riau,Batam,existing,,combustion,1.0903717,103.9004288,way/706971183,gas,,OSM-overpass
GEN-SMT-0047,PLTU Bukit Asam,PLTU Bukit Asam,PLTU,260.0,Sumatera Selatan,Sumatra,existing,,combustion,-3.7314036,103.797662,way/719550864,coal,,OSM-overpass
GEN-SMT-0048,PLTP Sarulla II,PLTP Sarulla II,PLTP,220.0,Sumatera Utara,Sumatra,existing,PLN,,1.8879656,99.0263576,way/721674156,geothermal,,OSM-overpass
