id,name,type,capacity_mw,province,region_key,status,target_cod_year,cod_re_base,cod_ared,developer,source_table,source_page,lat,lon,coord_source,coord_confidence
RUPTL-KALIMANTAN-P-0079,Kelai 2,PLTA,65.0,Kalimantan Timur,kalimantan,Planned,2032,2032,,SH-PLN,,782,0.523043,116.463705,province_centroid,low
RUPTL-KALIMANTAN-P-0080,Lambakan,PLTA,15.0,Kalimantan Timur,kalimantan,Planned,2033,2033,,SH-PLN,,782,0.423695,116.467039,province_centroid,low
RUPTL-KALIMANTAN-P-0081,Kalseltengtimra (Kuota) Tersebar,PLTS,50.0,Kalimantan Timur,kalimantan,Planned,2033,2033,,IPP,,782,0.616650,116.585322,province_centroid,low
RUPTL-KALIMANTAN-P-0082,Kalseltengtimra (Kuota) Tersebar,PLTA,125.0,Kalimantan Timur,kalimantan,Planned,2034,2034,,IPP,,782,0.624665,116.360942,province_centroid,low
RUPTL-KALIMANTAN-P-0083,PLTN Kalimantan (Kuota) tersebar New EBT*),PLTN,250.0,Kalimantan Timur,kalimantan,Planned,,,,IPP,,782,0.539284,116.544048,province_centroid,low
RUPTL-KALIMANTAN-P-0084,Lisdes Kaltim,PLTS,1.3,Kalimantan Timur,kalimantan,Planned,2025,2025,,PLN,,782,-1.170085,116.788460,gazetteer_generator:GEN-KLM-0011,high
RUPTL-KALIMANTAN-P-0085,Lisdes Kaltim,PLTS,10.5,Kalimantan Timur,kalimantan,Planned,2026,2026,,PLN,,782,-1.170085,116.788460,gazetteer_generator:GEN-KLM-0011,high
RUPTL-KALIMANTAN-P-0086,Lisdes Kaltim,PLTS,12.1,Kalimantan Timur,kalimantan,Planned,2027,2027,,PLN,,782,-1.170085,116.788460,gazetteer_generator:GEN-KLM-0011,high
RUPTL-KALIMANTAN-P-0087,Dedieselisasi,PLTS,0.9,Kalimantan Timur,kalimantan,Planned,2027,2027,,IPP,,782,0.745677,116.597213,province_centroid,low
RUPTL-KALIMANTAN-P-0088,Isolated Kaltim,PLTS,7.7,Kalimantan Timur,kalimantan,Planned,2030,2030,,IPP,,782,-1.170085,116.788460,gazetteer_generator:GEN-KLM-0011,high
RUPTL-KALIMANTAN-P-0089,Tarakan,PLTMG,50.0,Kalimantan Utara,kalimantan,Planned,2027,2027,,SH-PLN,Tabel A15.11,803,2.906985,116.651027,province_centroid,low
RUPTL-KALIMANTAN-P-0090,Kaltara/ Kaltimra*),PLTGU,100.0,Kalimantan Utara,kalimantan,Planned,2027,2027,,SH-PLN,Tabel A15.11,803,3.291060,116.602563,province_centroid,low
RUPTL-KALIMANTAN-P-0091,Kalseltengtimra-3 (PLTS+BESS),PLTS,240.0,Kalimantan Utara,kalimantan,Planned,,,,IPP,Tabel A15.11,803,2.854363,116.597237,province_centroid,low
RUPTL-KALIMANTAN-P-0092,Kalseltengtimra-3 (PLTS+BESS),PLTS,150.0,Kalimantan Utara,kalimantan,Planned,,,,IPP,Tabel A15.11,803,2.985740,116.830263,province_centroid,low
RUPTL-KALIMANTAN-P-0093,Add-On Kaltara/Kaltimra*),PLTGU,50.0,Kalimantan Utara,kalimantan,Planned,,,,SH-PLN,Tabel A15.11,803,3.291094,116.855419,province_centroid,low
RUPTL-KALIMANTAN-P-0094,Tanjung Selor,PLTU,14.0,Kalimantan Utara,kalimantan,Construction,2030,2030,,PLN,Tabel A15.11,803,2.813471,117.367163,gazetteer_generator:GEN-KLM-0023,high
RUPTL-KALIMANTAN-P-0095,Kalseltengtimra (Kuota) Tersebar,PLTA,300.0,Kalimantan Utara,kalimantan,Planned,2031,2031,,IPP,Tabel A15.11,803,2.911240,116.864465,province_centroid,low
RUPTL-KALIMANTAN-P-0096,Kalseltengtimra (Kuota) Tersebar,PLTA,200.0,Kalimantan Utara,kalimantan,Planned,2031,2031,,IPP,Tabel A15.11,803,3.210876,116.605533,province_centroid,low
RUPTL-KALIMANTAN-P-0097,Kalseltengtimra (Kuota) Tersebar,PLTA,200.0,Kalimantan Utara,kalimantan,Planned,2032,2032,,IPP,Tabel A15.11,803,3.229482,116.794687,province_centroid,low
RUPTL-KALIMANTAN-P-0098,Kalseltengtimra (Kuota) Tersebar,PLTA,200.0,Kalimantan Utara,kalimantan,Planned,2032,2032,,IPP,Tabel A15.11,803,2.915323,116.873998,province_centroid,low
RUPTL-KALIMANTAN-P-0099,Kalseltengtimra (Kuota) Tersebar,PLTS,50.0,Kalimantan Utara,kalimantan,Planned,2034,2034,,IPP,Tabel A15.11,803,2.948315,116.490769,province_centroid,low
RUPTL-KALIMANTAN-P-0100,Nunukan 2,PLTMG,10.0,Kalimantan Utara,kalimantan,Construction,2025,2025,,PLN,Tabel A15.11,803,3.014821,116.803698,province_centroid,low
RUPTL-KALIMANTAN-P-0101,Lisdes Kaltara,PLTS,2.0,Kalimantan Utara,kalimantan,Planned,2025,2025,,PLN,Tabel A15.11,803,3.080448,116.837851,province_centroid,low
RUPTL-KALIMANTAN-P-0102,Lisdes Kaltara,PLTS,1.5,Kalimantan Utara,kalimantan,Planned,2026,2026,,PLN,Tabel A15.11,803,3.100112,116.831947,province_centroid,low
RUPTL-KALIMANTAN-P-0103,Lisdes Kaltara,PLTS,0.9,Kalimantan Utara,kalimantan,Planned,2027,2027,,PLN,Tabel A15.11,803,3.033276,116.806488,province_centroid,low
RUPTL-KALIMANTAN-P-0104,Paramayo,PLTM,0.76,Kalimantan Utara,kalimantan,Planned,2027,2027,,PLN,Tabel A15.11,803,3.092352,116.677125,province_centroid,low
RUPTL-KALIMANTAN-P-0105,Isolated Kaltara,PLTS,5.1,Kalimantan Utara,kalimantan,Planned,2030,2030,,IPP,Tabel A15.11,803,3.138555,116.689635,province_centroid,low
RUPTL-KALIMANTAN-P-0106,Sunter Jawa-Bali (Kuota),PLTSa,35.0,Kalimantan Utara,kalimantan,Planned,2028,2028 2029,2028 2029,IPP,Tabel B1.9,818,3.239558,116.632456,province_centroid,low
RUPTL-KALIMANTAN-P-0107,Tersebar,PLTSa,150.0,Kalimantan Utara,kalimantan,Planned,,,,IPP,Tabel B1.9,818,2.847895,116.899560,province_centroid,low
