id,ipm_id,ruptl_id,name,type,capacity_mw,province,system,status,role,operator,method,lat,lon,match_tier,match_score,match_reason,name_source,capacity_mw_source,type_source,role_source,operator_source,status_source,coord_source,capacity_mw_ipm,capacity_mw_ruptl,type_ipm,type_ruptl,role_ipm,role_ruptl,has_capacity_conflict,has_type_conflict,has_role_conflict,has_location_conflict,osm_id,osm_source,source_id,review_flag
GEN-JMB-0093,GEN-JMB-0093,,PLTG Pemaron,PLTG,97.6,Bali,Jamali,existing,Utility,Indonesia Power,combustion,-8.1354153,115.0597903,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,97.6,,PLTG,,Utility,,,,,,way/894351135,gas,OSM-overpass,
GEN-JMB-0094,GEN-JMB-0094,,PLTP Patuha,PLTP,55.0,Jawa Barat,Jamali,existing,Utility,PT Geo Dipa Energi,,-7.1840027,107.4225616,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,55.0,,PLTP,,Utility,,,,,,way/894351143,geothermal,OSM-overpass,
GEN-JMB-0095,GEN-JMB-0095,,PLTP Darajad,PLTP,55.0,Jawa Barat,Jamali,existing,Utility,Indonesia Power,,-7.2155509,107.7379485,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,55.0,,PLTP,,Utility,,,,,,way/894351144,geothermal,OSM-overpass,
GEN-JMB-0096,GEN-JMB-0096,,PLTP Gunung Salak,PLTP,180.0,Jawa Barat,Jamali,existing,Utility,Indonesia Power,,-6.7416735,106.6466609,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,180.0,,PLTP,,Utility,,,,,,way/894351145,geothermal,OSM-overpass,
GEN-JMB-0097,GEN-JMB-0097,,PLTU Jawa Tengah 2,PLTU,660.0,Jawa Tengah,Jamali,existing,Utility,Indonesia Power,combustion,-7.6849163,109.137226,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,660.0,,PLTU,,Utility,,,,,,way/894351146,coal,OSM-overpass,
GEN-JMB-0098,GEN-JMB-0098,,PLTGU Tambak Lorok,PLTGU,2014.0,Jawa Tengah,Jamali,existing,Utility,Indonesia Power,combustion,-6.9503683,110.4323048,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,2014.0,,PLTGU,,Utility,,,,,,way/894351150,gas,OSM-overpass,
GEN-JMB-0099,GEN-JMB-0099,,PLTA Jatigede,PLTA,110.0,Jawa Barat,Jamali,existing,Utility,,,-6.8329864,108.1051576,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,110.0,,PLTA,,Utility,,,,,,way/896115176,hydro,OSM-overpass,
GEN-JMB-0100,GEN-JMB-0100,,PLTGU Jawa-2 Power Project,PLTGU,800,DKI Jakarta,Jamali,existing,Utility,,combustion,-6.1081907,106.8701718,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,800,,PLTGU,,Utility,,,,,,way/929881495,gas,OSM-overpass,NO_CAPACITY
GEN-JMB-0101,GEN-JMB-0101,,PLTS Cirata,PLTS,192.0,Jawa Barat,Jamali,existing,Utility,Pembangkitan Jawa Bali Masdar Solar Energi,photovoltaic,-6.7040068,107.334109,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,192.0,,PLTS,,Utility,,,,,,way/941364097,solar,OSM-overpass,
GEN-JMB-0102,GEN-JMB-0102,,PLTU DSS,PLTU,85.0,Jawa Barat,Jamali,existing,Captive,Dian Swastatika Sentosa,combustion,-6.3251623,107.3146033,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,85.0,,PLTU,,Captive,,,,,,way/960747876,coal,OSM-overpass,
GEN-JMB-0103,GEN-JMB-0103,,PLTGU Jawa-1,PLTGU,1760.0,Jawa Barat,Jamali,existing,Utility,Pertamina Power,combustion,-6.2444359,107.5908172,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,1760.0,,PLTGU,,Utility,,,,,,way/960747901,gas,OSM-overpass,
GEN-JMB-0104,GEN-JMB-0104,,PLTG Indocement,PLTG,,Jawa Barat,Jamali,existing,Captive,,,-6.4829769,106.8915408,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,,,PLTG,,Captive,,,,,,way/963054356,gas,OSM-overpass,NO_CAPACITY
GEN-JMB-0105,GEN-JMB-0105,,PLTA Kracak,PLTA,18.9,Jawa Barat,Jamali,existing,Utility,,,-6.6169502,106.6439089,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,18.9,,PLTA,,Utility,,,,,,way/966209461,hydro,OSM-overpass,
GEN-JMB-0106,GEN-JMB-0106,,PLTGU Krakatau Posco Cilegon,PLTGU,200.0,Banten,Jamali,existing,Captive,,,-6.0071,105.9713524,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,200.0,,PLTGU,,Captive,,,,,,way/967994503,waste_heat;gas,OSM-overpass,NO_TYPE
GEN-JMB-0107,GEN-JMB-0107,,PLTSa Benowo,PLTSa,12.0,Jawa Timur,Jamali,existing,Utility,,,-7.2177599,112.6256508,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,,ipm_osm,ipm_osm,12.0,,PLTSa,,Utility,,,,,,way/977107476,waste,OSM-overpass,
GEN-JMB-0109,GEN-JMB-0109,,PLTA Bengkok,PLTA,3.2,Jawa Barat,Jamali,existing,Utility,Indonesia Power,water-storage,-6.8618973,107.6248043,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,3.2,,PLTA,,Utility,,,,,,way/1010246303,hydro,OSM-overpass,
GEN-JMB-0115,GEN-JMB-0115,,PLTG Sunyaragi 2,PLTG,72.0,Jawa Barat,Jamali,existing,Utility,Perusahaan Listrik Negara,combustion,-6.7368136,108.5399113,UNMATCHED_IPM,0.10,tidak ada RUPTL row yang cocok,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,72.0,,PLTG,,Utility,,,,,,way/1072665332,gas,OSM-overpass,
