id,voltage_class,voltage_kv_max,voltage_kv_all,length_km,osm_id,osm_voltage,source_id
TRM-JMB-1309,150 kV,150.0,150,0.065,way/1121012059,150000,OSM-overpass
TRM-JMB-1310,150 kV,150.0,150,0.066,way/1121012060,150000,OSM-overpass
TRM-JMB-1311,150 kV,150.0,150,0.028,way/1121012061,150000,OSM-overpass
TRM-JMB-1312,150 kV,150.0,150,0.029,way/1121012062,150000,OSM-overpass
TRM-JMB-1313,150 kV,150.0,150,0.386,way/1121012063,150000,OSM-overpass
TRM-JMB-1314,150 kV,150.0,150,14.389,way/1121012064,150000,OSM-overpass
TRM-JMB-1315,150 kV,150.0,150,18.546,way/1121012066,150000,OSM-overpass
TRM-JMB-1316,150 kV,150.0,150,0.041,way/1147362868,150000,OSM-overpass
TRM-JMB-1317,150 kV,150.0,150,0.043,way/1147362869,150000,OSM-overpass
TRM-JMB-1318,150 kV,150.0,150,0.044,way/1147362870,150000,OSM-overpass
TRM-JMB-1319,150 kV,150.0,150,0.048,way/1147362871,150000,OSM-overpass
TRM-JMB-1320,150 kV,150.0,150,0.427,way/1147362872,150000,OSM-overpass
TRM-JMB-1321,150 kV,150.0,150,0.021,way/1147587867,150000,OSM-overpass
TRM-JMB-1322,150 kV,150.0,150,0.023,way/1147587868,150000,OSM-overpass
TRM-JMB-1323,150 kV,150.0,150,0.026,way/1147587869,150000,OSM-overpass
TRM-JMB-1324,150 kV,150.0,150,8.246,way/1147587870,150000,OSM-overpass
TRM-JMB-1325,150 kV,150.0,150,0.026,way/1147587871,150000,OSM-overpass
TRM-JMB-1326,150 kV,150.0,150,0.258,way/1158510255,150000,OSM-overpass
TRM-JMB-1327,150 kV,150.0,150,2.851,way/1158510256,150000,OSM-overpass
TRM-JMB-1328,150 kV,150.0,150,0.21,way/1158510258,150000,OSM-overpass
TRM-JMB-1329,150 kV,150.0,150,0.054,way/1158510259,150000,OSM-overpass
TRM-JMB-1330,150 kV,150.0,150,11.316,way/1158510260,150000,OSM-overpass
TRM-JMB-1331,500 kV,500.0,500,0.187,way/1164308075,500000,OSM-overpass
TRM-JMB-1332,500 kV,500.0,500,0.187,way/1164308076,500000,OSM-overpass
TRM-JMB-1333,500 kV,500.0,500,0.188,way/1164308077,500000,OSM-overpass
TRM-JMB-1334,150 kV,150.0,150,5.137,way/1164308078,150000,OSM-overpass
TRM-JMB-1335,150 kV,150.0,150,0.324,way/1164308080,150000,OSM-overpass
TRM-JMB-1336,500 kV,500.0,500,0.1,way/1164308082,500000,OSM-overpass
TRM-JMB-1337,150 kV,150.0,150,0.153,way/1164308085,150000,OSM-overpass
