id,ipm_id,ruptl_id,name,type,capacity_mw,province,system,status,role,operator,method,lat,lon,match_tier,match_score,match_reason,name_source,capacity_mw_source,type_source,role_source,operator_source,status_source,coord_source,capacity_mw_ipm,capacity_mw_ruptl,type_ipm,type_ruptl,role_ipm,role_ruptl,has_capacity_conflict,has_type_conflict,has_role_conflict,has_location_conflict,osm_id,osm_source,source_id,review_flag
GEN-KLM-0022,GEN-KLM-0022,RUPTL-KALIMANTAN-P-0021,PLTU Parit Baru (FTP1),PLTU,100.0,Kalimantan Barat,Khatulistiwa,existing,Utility,Perusahaan Listrik Negara,combustion,0.0586762,109.2032589,PROBABLE_MATCH,0.80,"nama-stem sama ('parit baru ftp1'), jarak 0.0 km",ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,ipm_osm,100.0,50.0,PLTU,PLTU,Utility,,true,false,,false,way/919274063,coal,OSM-overpass,
RUPTL:RUPTL-KALIMANTAN-P-0022,,RUPTL-KALIMANTAN-P-0022,Pantai Kura- Kura (FTP1),PLTU,27.5,Kalimantan Barat,,Construction,,,,-0.075339,111.285603,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,27.5,,PLTU,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0023,,RUPTL-KALIMANTAN-P-0023,Pantai Kura- Kura (FTP1),PLTU,27.5,Kalimantan Barat,,Construction,,,,-0.413321,111.572303,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,27.5,,PLTU,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0024,,RUPTL-KALIMANTAN-P-0024,Khatulistiwa (Kuota) Tersebar,PLTA,150.0,Kalimantan Barat,,Planned,,,,-0.361764,111.592167,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,150.0,,PLTA,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0025,,RUPTL-KALIMANTAN-P-0025,Kalimantan (Kuota) Tersebar,?,10.0,Kalimantan Barat,,Planned,,,,-0.441948,111.329853,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,10.0,,?,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0026,,RUPTL-KALIMANTAN-P-0026,Kalimantan (Kuota) Tersebar,?,4.0,Kalimantan Barat,,Planned,,,,-0.193519,111.558777,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,4.0,,?,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0027,,RUPTL-KALIMANTAN-P-0027,Khatulistiwa (Kuota) Tersebar,PLTA,100.0,Kalimantan Barat,,Planned,,,,-0.119617,111.439194,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,100.0,,PLTA,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0028,,RUPTL-KALIMANTAN-P-0028,Kalimantan (Kuota) Tersebar,?,16.0,Kalimantan Barat,,Planned,,,,-0.497746,111.562041,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,16.0,,?,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0029,,RUPTL-KALIMANTAN-P-0029,Kalimantan (Kuota) Tersebar,?,5.0,Kalimantan Barat,,Planned,,,,-0.118022,111.336981,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,5.0,,?,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0030,,RUPTL-KALIMANTAN-P-0030,Kalimantan (Kuota) Tersebar,?,1.2,Kalimantan Barat,,Planned,,,,-0.43858,111.423097,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,1.2,,?,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0031,,RUPTL-KALIMANTAN-P-0031,PLTN Kalimantan (Kuota) tersebar New EBT*),PLTN,250.0,Kalimantan Barat,,Planned,,,,-0.475855,111.654783,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,250.0,,PLTN,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0032,,RUPTL-KALIMANTAN-P-0032,Khatulistiwa (Kuota) Tersebar,PLTA,100.0,Kalimantan Barat,,Planned,,,,-0.393979,111.66088,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,100.0,,PLTA,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0033,,RUPTL-KALIMANTAN-P-0033,Khatulistiwa (Kuota) Tersebar,PLTA,100.0,Kalimantan Barat,,Planned,,,,-0.399238,111.519221,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,100.0,,PLTA,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0034,,RUPTL-KALIMANTAN-P-0034,Lisdes Kalbar,PLTS,1.9,Kalimantan Barat,,Planned,,,,-0.001087,109.327622,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,1.9,,PLTS,,,,,,,,,,
RUPTL:RUPTL-KALIMANTAN-P-0035,,RUPTL-KALIMANTAN-P-0035,Dedieselisasi,PLTS,21.6,Kalimantan Barat,,Planned,,,,-0.318978,111.572592,UNMATCHED_RUPTL,0.10,tidak ada IPM row yang cocok dalam thresholds,ruptl,ruptl,ruptl,,,ruptl,ruptl_geocoded,,21.6,,PLTS,,,,,,,,,,
