id,name,from_bus,to_bus,voltage_kv,action_type,circuits,line_type,length_km,target_cod_year,status,province,region_key,source_page,source_table
RUPTL-KALIMANTAN-T-0108,Kembang Janggut — Kotabangun,Kembang Janggut,Kotabangun,150,New,2,SUTT,190.0,2032,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0109,Kembang Janggut — Muara Bengkal,Kembang Janggut,Muara Bengkal,150,New,2,SUTT,200.0,2032,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0110,Muara Bengkal — Muara Wahau,Muara Bengkal,Muara Wahau,150,New,2,SUTT,240.0,2032,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0111,PLTA Tabang 1 — Kembang Janggut,PLTA Tabang 1,Kembang Janggut,150,New,2,SUTT,160.0,2032,Planned,Kalimantan Timur,kalimantan,787,
RUPTL-KALIMANTAN-T-0112,Muara Wahau — Tanjung Redeb,Muara Wahau,Tanjung Redeb,150,New,2,SUTT,304.0,2032,Planned,Kalimantan Timur,kalimantan,788,Tabel A14.19
RUPTL-KALIMANTAN-T-0113,Tanjung Redeb — Tanjung Batu (Derawan),Tanjung Redeb,Tanjung Batu (Derawan),150,New,2,SUTT,100.0,2032,Planned,Kalimantan Timur,kalimantan,788,Tabel A14.19
RUPTL-KALIMANTAN-T-0114,PLTA Kelai — Inc 2 Phi (Muara Wahau - Tanjung Redeb),PLTA Kelai,Inc 2 Phi (Muara Wahau - Tanjung Redeb),150,New,4,SUTT,6.0,2032,Planned,Kalimantan Timur,kalimantan,788,Tabel A14.19
RUPTL-KALIMANTAN-T-0115,PLTA Kelai 2 — PLTA Kelai,PLTA Kelai 2,PLTA Kelai,150,New,2,SUTT,42.0,2032,Planned,Kalimantan Timur,kalimantan,788,Tabel A14.19
RUPTL-KALIMANTAN-T-0116,PLTS Kalseltengtimra (Kuota) Tersebar 50 MW — GI Eksisting / Baru Sistem Kalseltengtimra,PLTS Kalseltengtimra (Kuota) Tersebar 50 MW,GI Eksisting / Baru Sistem Kalseltengtimra,150,New,2,SUTT,10.0,2033,Planned,Kalimantan Timur,kalimantan,788,Tabel A14.19
RUPTL-KALIMANTAN-T-0117,PLTA Kalseltengtimra (Kuota) Tersebar 125 MW — GI Eksisting / Baru Sistem Kalseltengtimra*,PLTA Kalseltengtimra (Kuota) Tersebar 125 MW,GI Eksisting / Baru Sistem Kalseltengtimra*,150,New,4,SUTT,20.0,2034,Planned,Kalimantan Timur,kalimantan,788,Tabel A14.19
