id,name,from_bus,to_bus,voltage_kv,action_type,circuits,line_type,length_km,target_cod_year,status,province,region_key,source_page,source_table
RUPTL-SUMATRA-T-0072,PLTS Sumatera (Kuota) Tersebar 50 MW — GI Eksisting / Baru Sumatera,PLTS Sumatera (Kuota) Tersebar 50 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2031,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0073,PLTP Sumatera (Kuota ISJ) Tersebar 705 MW** — GI Eksisting / Baru Sumatera,PLTP Sumatera (Kuota ISJ) Tersebar 705 MW**,GI Eksisting / Baru Sumatera,150,,,,20.0,2031,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0074,PLTS Sumatera (Kuota) Tersebar 25 MW — GI Eksisting / Baru Sumatera,PLTS Sumatera (Kuota) Tersebar 25 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2032,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0075,PLTS Sumatera (Kuota) Tersebar 100 MW — GI Eksisting / Baru Sumatera,PLTS Sumatera (Kuota) Tersebar 100 MW,GI Eksisting / Baru Sumatera,150,,,,10.0,2033,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0076,PLTP Sumatera (Kuota ISJ) Tersebar 95 MW** — GI Eksisting / Baru Sumatera,PLTP Sumatera (Kuota ISJ) Tersebar 95 MW**,GI Eksisting / Baru Sumatera,150,,,,20.0,2033,Planned,Sumatera Utara,sumatra,627,Tabel A2.15
RUPTL-SUMATRA-T-0077,Rantau Prapat — Perawang / Riau 2,Rantau Prapat,Perawang / Riau 2,500,,,,560.0,2028,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0078,Peranap*** — LP Sungai Guntung***,Peranap***,LP Sungai Guntung***,500,,,,360.0,2031,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0079,Peranap*** — LP Sungai Guntung***,Peranap***,LP Sungai Guntung***,500,,,,360.0,2032,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0080,Perawang (HVDC)*** — Peninsular (Malaysia)***,Perawang (HVDC)***,Peninsular (Malaysia)***,500,,,,300.0,2034,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0081,Sorek — Inc. 2 phi (Rengat- Pangkalan Kerinci),Sorek,Inc. 2 phi (Rengat- Pangkalan Kerinci),150,,,,1.0,2025,Construction,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0082,KID — Pakning,KID,Pakning,150,,,,134.0,2025,Construction,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0083,Lubuk Gaung — Dumai,Lubuk Gaung,Dumai,150,,,,60.0,2025,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0084,Pakning — Bengkalis,Pakning,Bengkalis,150,,,,14.0,2026,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0085,Siak Sri Indra Pura — Landing Point Arah Selat Panjang,Siak Sri Indra Pura,Landing Point Arah Selat Panjang,150,,,,70.0,2026,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0086,Landing Point Arah Selat Panjang — Landing Point Selat Panjang,Landing Point Arah Selat Panjang,Landing Point Selat Panjang,150,,,,10.0,2026,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0087,Landing Point Selat Panjang — Selat Panjang,Landing Point Selat Panjang,Selat Panjang,150,,,,90.0,2026,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0088,Bangkinang — Lipat Kain,Bangkinang,Lipat Kain,150,,,,70.0,2026,Committed,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0089,Selat Panjang — Pulau Rangsang,Selat Panjang,Pulau Rangsang,150,,,,6.0,2026,Committed,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0090,Pulau Rangsang — Landing Point Arah TBK,Pulau Rangsang,Landing Point Arah TBK,150,,,,120.0,2026,Committed,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0091,Landing Point Arah TBK — Landing Point TBK,Landing Point Arah TBK,Landing Point TBK,150,,,,70.0,2026,Committed,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0092,Pakning — Siak,Pakning,Siak,150,,,,200.0,2026,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0093,PHR-1 / Balam — GI Switching Balam,PHR-1 / Balam,GI Switching Balam,150,,,,34.0,2027,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0094,GI Switching Balam (Rekonduktoring) — Duri (Rekonduktoring),GI Switching Balam (Rekonduktoring),Duri (Rekonduktoring),150,,,,112.0,2027,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0095,GI Switching Balam — Inc 2 Phi (Duri - Bagan Batu) Arah Bagan Batu,GI Switching Balam,Inc 2 Phi (Duri - Bagan Batu) Arah Bagan Batu,150,,,,0.2,2027,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0096,GI Switching Balam — Inc 2 Phi (Duri - Bagan Batu) Arah Duri,GI Switching Balam,Inc 2 Phi (Duri - Bagan Batu) Arah Duri,150,,,,0.2,2027,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0097,PHR-2 / Petapahan — Bangkinang,PHR-2 / Petapahan,Bangkinang,150,,,,88.0,2027,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0098,Tanjung Palas — Inc. 2 Phi (KID - Dumai),Tanjung Palas,Inc. 2 Phi (KID - Dumai),150,,,,12.0,2028,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0099,Peranap — Inc. 2 Phi (Tl.Kuantan- Rengat),Peranap,Inc. 2 Phi (Tl.Kuantan- Rengat),150,,,,6.0,2028,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0100,Tembilahan — GI Switching Pelangiran,Tembilahan,GI Switching Pelangiran,150,,,,10.0,2033,Planned,Riau,sumatra,640,Tabel A3.14
RUPTL-SUMATRA-T-0101,Peranap — LP Sungai Guntung,Peranap,LP Sungai Guntung,500 DC,New,2,,360.0,2032,Planned,Kepulauan Riau,sumatra,648,Tabel A4.9
RUPTL-SUMATRA-T-0102,LP Sungai Guntung — Rempang / Tanjung Gundap,LP Sungai Guntung,Rempang / Tanjung Gundap,500 DC,New,2,,156.0,2032,Planned,Kepulauan Riau,sumatra,648,Tabel A4.9
RUPTL-SUMATRA-T-0103,Rempang / Tanjung Gundap — LP Sabang Mas,Rempang / Tanjung Gundap,LP Sabang Mas,500,New,2,SUTET,24.0,2032,Planned,Kepulauan Riau,sumatra,648,Tabel A4.9
RUPTL-SUMATRA-T-0104,LP Sabang Mas — LP Ngenang,LP Sabang Mas,LP Ngenang,500,New,2,SKLT,6.0,2032,Planned,Kepulauan Riau,sumatra,648,Tabel A4.9
RUPTL-SUMATRA-T-0105,LP Ngenang — Ngenang,LP Ngenang,Ngenang,500,New,2,SUTET,6.0,2032,Planned,Kepulauan Riau,sumatra,648,Tabel A4.9
RUPTL-SUMATRA-T-0106,Ngenang — LP Tanjung Paloh,Ngenang,LP Tanjung Paloh,500,New,2,SKLT,10.0,2032,Planned,Kepulauan Riau,sumatra,648,Tabel A4.9
RUPTL-SUMATRA-T-0107,LP Tanjung Paloh — GITET Bintan,LP Tanjung Paloh,GITET Bintan,500,New,2,SUTET,90.0,2032,Planned,Kepulauan Riau,sumatra,648,Tabel A4.9
RUPTL-SUMATRA-T-0108,GITET Bintan — GITET KKT BAI,GITET Bintan,GITET KKT BAI,500,New,2,SUTET,26.0,2032,Planned,Kepulauan Riau,sumatra,648,Tabel A4.9
RUPTL-SUMATRA-T-0109,GI Rempang** — LP Sabang Mas**,GI Rempang**,LP Sabang Mas**,500,,,,24.0,2032,Planned,Kepulauan Riau,sumatra,652,Tabel A4.16
RUPTL-SUMATRA-T-0110,LP Sabang Mas** — LP Ngenang**,LP Sabang Mas**,LP Ngenang**,500,,,,6.0,2032,Planned,Kepulauan Riau,sumatra,652,Tabel A4.16
RUPTL-SUMATRA-T-0111,LP Ngenang** — Ngenang**,LP Ngenang**,Ngenang**,500,,,,6.0,2032,Planned,Kepulauan Riau,sumatra,652,Tabel A4.16
RUPTL-SUMATRA-T-0112,Ngenang** — LP Tanjung Taloh (Bintan)**,Ngenang**,LP Tanjung Taloh (Bintan)**,500,,,,10.0,2032,Planned,Kepulauan Riau,sumatra,652,Tabel A4.16
RUPTL-SUMATRA-T-0113,LP Tanjung Taloh (Bintan)** — GITET Bintan**,LP Tanjung Taloh (Bintan)**,GITET Bintan**,500,,,,90.0,2032,Planned,Kepulauan Riau,sumatra,652,Tabel A4.16
RUPTL-SUMATRA-T-0114,GITET Bintan** — GITET KTT BAI / Data Center**,GITET Bintan**,GITET KTT BAI / Data Center**,500,,,,26.0,2032,Planned,Kepulauan Riau,sumatra,653,Tabel A4.19
RUPTL-SUMATRA-T-0115,LP Sungai Guntung* — GI Rempang / Tanjung Gundap*,LP Sungai Guntung*,GI Rempang / Tanjung Gundap*,500 *,,,,156.0,2031,Planned,Kepulauan Riau,sumatra,653,Tabel A4.19
RUPTL-SUMATRA-T-0116,LP Sungai Guntung* — GI Rempang*,LP Sungai Guntung*,GI Rempang*,500 *,,,,156.0,2032,Planned,Kepulauan Riau,sumatra,653,Tabel A4.19
RUPTL-SUMATRA-T-0117,Landing Point TBK — Tanjung Balai Karimun,Landing Point TBK,Tanjung Balai Karimun,150,,,,14.0,2026,Committed,Kepulauan Riau,sumatra,653,Tabel A4.19
RUPTL-SUMATRA-T-0118,Sri Bintan — KTT Bintan Resort Cakrawala,Sri Bintan,KTT Bintan Resort Cakrawala,150,,,,10.0,2030,Planned,Kepulauan Riau,sumatra,653,Tabel A4.19
RUPTL-SUMATRA-T-0119,GI Rempang / Tanjung Gundap* — GI Panaran (Batam)*,GI Rempang / Tanjung Gundap*,GI Panaran (Batam)*,150,,,,40.0,2031,Planned,Kepulauan Riau,sumatra,653,Tabel A4.19
RUPTL-SUMATRA-T-0120,Tanjung Uban (rekonduktoring) — Sri Bintan (rekonduktoring),Tanjung Uban (rekonduktoring),Sri Bintan (rekonduktoring),150,,,,32.0,2031,Planned,Kepulauan Riau,sumatra,653,Tabel A4.19
RUPTL-SUMATRA-T-0121,Belinyu — Kelapa,Belinyu,Kelapa,150,,,,110.0,2026,Planned,Kepulauan Bangka Belitung,sumatra,665,Tabel A5.12
RUPTL-SUMATRA-T-0122,Sumatera Landing Point (Tahap 2) — Bangka Landing Point (Tahap 2),Sumatera Landing Point (Tahap 2),Bangka Landing Point (Tahap 2),150,,,,30.0,2028,Planned,Kepulauan Bangka Belitung,sumatra,665,Tabel A5.12
RUPTL-SUMATRA-T-0123,Koba — Bangka Landing Point (Tahap 2),Koba,Bangka Landing Point (Tahap 2),150,,,,132.0,2028,Planned,Kepulauan Bangka Belitung,sumatra,665,Tabel A5.12
RUPTL-SUMATRA-T-0124,Pangkal Pinang 2 — Air Anyir,Pangkal Pinang 2,Air Anyir,150,,,,22.0,2028,Planned,Kepulauan Bangka Belitung,sumatra,665,Tabel A5.12
